nm    	T%  
800.00 	66.6 
799.50 	66.6 
799.00 	66.7 
798.50 	66.7 
798.00 	66.6 
797.50 	66.7 
797.00 	66.8 
796.50 	66.6 
796.00 	66.8 
795.50 	66.9 
795.00 	66.8 
794.50 	66.8 
794.00 	67.0 
793.50 	66.8 
793.00 	66.9 
792.50 	67.0 
792.00 	66.9 
791.50 	67.0 
791.00 	67.0 
790.50 	66.9 
790.00 	67.0 
789.50 	67.1 
789.00 	67.0 
788.50 	67.1 
788.00 	67.2 
787.50 	67.0 
787.00 	67.1 
786.50 	67.2 
786.00 	67.1 
785.50 	67.1 
785.00 	67.3 
784.50 	67.1 
784.00 	67.2 
783.50 	67.3 
783.00 	67.2 
782.50 	67.3 
782.00 	67.4 
781.50 	67.2 
781.00 	67.3 
780.50 	67.4 
780.00 	67.2 
779.50 	67.4 
779.00 	67.4 
778.50 	67.3 
778.00 	67.4 
777.50 	67.5 
777.00 	67.4 
776.50 	67.5 
776.00 	67.6 
775.50 	67.4 
775.00 	67.5 
774.50 	67.6 
774.00 	67.5 
773.50 	67.6 
773.00 	67.7 
772.50 	67.6 
772.00 	67.6 
771.50 	67.7 
771.00 	67.5 
770.50 	67.7 
770.00 	67.8 
769.50 	67.5 
769.00 	67.7 
768.50 	67.8 
768.00 	67.7 
767.50 	67.7 
767.00 	67.8 
766.50 	67.7 
766.00 	67.8 
765.50 	67.9 
765.00 	67.7 
764.50 	67.8 
764.00 	67.9 
763.50 	67.8 
763.00 	67.9 
762.50 	68.0 
762.00 	67.8 
761.50 	67.9 
761.00 	67.8 
760.50 	67.8 
760.00 	67.8 
759.50 	67.9 
759.00 	67.7 
758.50 	67.8 
758.00 	68.0 
757.50 	67.8 
757.00 	67.9 
756.50 	68.0 
756.00 	67.8 
755.50 	68.0 
755.00 	68.0 
754.50 	67.9 
754.00 	67.9 
753.50 	68.1 
753.00 	67.9 
752.50 	68.0 
752.00 	68.1 
751.50 	67.9 
751.00 	68.0 
750.50 	68.1 
750.00 	68.0 
749.50 	68.0 
749.00 	68.2 
