nm,T%,
800.00,  75.5,
799.50,  75.4,
799.00,  75.6,
798.50,  75.7,
798.00,  75.6,
797.50,  75.7,
797.00,  75.8,
796.50,  75.7,
796.00,  75.9,
795.50,  76.0,
795.00,  75.7,
794.50,  76.0,
794.00,  76.1,
793.50,  75.9,
793.00,  76.0,
792.50,  76.2,
792.00,  76.1,
791.50,  76.1,
791.00,  76.3,
790.50,  76.2,
790.00,  76.3,
789.50,  76.4,
789.00,  76.2,
788.50,  76.4,
788.00,  76.5,
787.50,  76.3,
787.00,  76.5,
786.50,  76.6,
786.00,  76.5,
785.50,  76.5,
785.00,  76.7,
784.50,  76.5,
784.00,  76.6,
783.50,  76.8,
783.00,  76.6,
782.50,  76.7,
782.00,  76.9,
781.50,  76.7,
781.00,  76.8,
780.50,  77.0,
780.00,  76.8,
779.50,  76.9,
779.00,  77.0,
778.50,  76.9,
778.00,  77.0,
777.50,  77.1,
777.00,  76.8,
776.50,  77.1,
776.00,  77.2,
775.50,  77.1,
775.00,  77.1,
774.50,  77.3,
774.00,  77.1,
773.50,  77.2,
773.00,  77.4,
772.50,  77.2,
772.00,  77.3,
771.50,  77.5,
771.00,  77.3,
770.50,  77.4,
770.00,  77.5,
769.50,  77.3,
769.00,  77.5,
768.50,  77.6,
768.00,  77.3,
767.50,  77.5,
767.00,  77.6,
766.50,  77.5,
766.00,  77.6,
765.50,  77.7,
765.00,  77.5,
764.50,  77.6,
764.00,  77.8,
763.50,  77.7,
763.00,  77.7,
762.50,  77.9,
762.00,  77.6,
761.50,  77.8,
761.00,  77.8,
760.50,  77.6,
760.00,  77.8,
759.50,  77.9,
759.00,  77.7,
758.50,  77.8,
758.00,  78.0,
757.50,  77.8,
757.00,  77.9,
756.50,  78.0,
756.00,  77.9,
755.50,  78.0,
755.00,  78.0,
754.50,  77.9,
754.00,  78.0,
753.50,  78.2,
753.00,  77.9,
752.50,  78.0,
752.00,  78.1,
751.50,  78.1,
751.00,  78.1,
750.50,  78.1,
750.00,  77.9,
749.50,  78.1,
749.00,  78.2,
748.50,  78.0,
748.00,  78.2,
747.50,  78.3,
747.00,  78.1,
746.50,  78.2,
746.00,  78.4,
745.50,  78.1,
745.00,  78.2,
744.50,  78.4,
744.00,  78.1,
743.50,  78.3,
743.00,  78.3,
742.50,  78.2,
742.00,  78.3,
741.50,  78.4,
741.00,  78.3,
740.50,  78.3,
740.00,  78.4,
739.50,  78.3,
739.00,  78.4,
738.50,  78.5,
738.00,  78.4,
737.50,  78.4,
737.00,  78.5,
736.50,  78.3,
736.00,  78.4,
735.50,  78.5,
735.00,  78.3,
734.50,  78.4,
734.00,  78.5,
733.50,  78.3,
733.00,  78.5,
732.50,  78.5,
732.00,  78.4,
731.50,  78.5,
731.00,  78.6,
730.50,  78.3,
730.00,  78.5,
729.50,  78.6,
729.00,  78.3,
728.50,  78.5,
728.00,  78.6,
727.50,  78.4,
727.00,  78.5,
726.50,  78.6,
726.00,  78.3,
725.50,  78.5,
725.00,  78.5,
724.50,  78.4,
724.00,  78.5,
723.50,  78.6,
723.00,  78.3,
722.50,  78.5,
722.00,  78.5,
721.50,  78.4,
721.00,  78.5,
720.50,  78.6,
720.00,  78.4,
719.50,  78.5,
719.00,  78.6,
718.50,  78.4,
718.00,  78.5,
717.50,  78.7,
717.00,  78.3,
716.50,  78.5,
716.00,  78.7,
715.50,  78.4,
715.00,  78.5,
714.50,  78.6,
714.00,  78.4,
713.50,  78.5,
713.00,  78.6,
712.50,  78.4,
712.00,  78.5,
711.50,  78.6,
711.00,  78.4,
710.50,  78.5,
710.00,  78.6,
709.50,  78.4,
709.00,  78.5,
708.50,  78.6,
708.00,  78.3,
707.50,  78.5,
707.00,  78.5,
706.50,  78.3,
706.00,  78.4,
705.50,  78.6,
705.00,  78.3,
704.50,  78.5,
704.00,  78.5,
703.50,  78.3,
703.00,  78.4,
702.50,  78.6,
702.00,  78.3,
701.50,  78.4,
701.00,  78.5,
700.50,  78.3,
700.00,  78.4,
699.50,  78.5,
699.00,  78.2,
698.50,  78.4,
698.00,  78.6,
697.50,  78.2,
697.00,  78.4,
696.50,  78.5,
696.00,  78.2,
695.50,  78.4,
695.00,  78.4,
694.50,  78.1,
694.00,  78.3,
693.50,  78.5,
693.00,  78.3,
692.50,  78.3,
692.00,  78.5,
691.50,  78.2,
691.00,  78.3,
690.50,  78.5,
690.00,  78.2,
689.50,  78.3,
689.00,  78.5,
688.50,  78.1,
688.00,  78.3,
687.50,  78.4,
687.00,  78.1,
686.50,  78.3,
686.00,  78.5,
685.50,  78.1,
685.00,  78.3,
684.50,  78.6,
684.00,  78.1,
683.50,  78.3,
683.00,  78.4,
682.50,  78.0,
682.00,  78.2,
681.50,  78.5,
681.00,  78.0,
680.50,  78.2,
680.00,  78.5,
679.50,  78.0,
679.00,  78.2,
678.50,  78.5,
678.00,  77.9,
677.50,  78.2,
677.00,  78.5,
676.50,  77.9,
676.00,  78.2,
675.50,  78.5,
675.00,  77.9,
674.50,  78.2,
674.00,  78.5,
673.50,  78.0,
673.00,  78.2,
672.50,  78.4,
672.00,  78.0,
671.50,  78.1,
671.00,  78.3,
670.50,  78.1,
670.00,  78.1,
669.50,  78.1,
669.00,  78.3,
668.50,  78.1,
668.00,  77.8,
667.50,  78.4,
667.00,  78.1,
666.50,  77.7,
666.00,  78.5,
665.50,  78.1,
665.00,  77.6,
664.50,  78.5,
664.00,  78.1,
663.50,  77.7,
663.00,  78.3,
662.50,  78.1,
662.00,  77.7,
661.50,  78.4,
661.00,  78.1,
660.50,  77.8,
660.00,  78.3,
659.50,  78.1,
659.00,  78.0,
658.50,  78.2,
658.00,  78.2,
657.50,  78.2,
657.00,  78.1,
656.50,  78.1,
656.00,  78.2,
655.50,  78.1,
655.00,  78.2,
654.50,  78.2,
654.00,  78.1,
653.50,  78.1,
653.00,  78.2,
652.50,  78.1,
652.00,  78.2,
651.50,  78.2,
651.00,  78.1,
650.50,  78.2,
650.00,  78.2,
649.50,  78.1,
649.00,  78.2,
648.50,  78.2,
648.00,  78.2,
647.50,  78.2,
647.00,  78.3,
646.50,  78.2,
646.00,  78.2,
645.50,  78.2,
645.00,  78.2,
644.50,  78.2,
644.00,  78.2,
643.50,  78.2,
643.00,  78.3,
642.50,  78.3,
642.00,  78.2,
641.50,  78.3,
641.00,  78.3,
640.50,  78.3,
640.00,  78.3,
639.50,  78.3,
639.00,  78.3,
638.50,  78.3,
638.00,  78.3,
637.50,  78.2,
637.00,  78.3,
636.50,  78.3,
636.00,  78.3,
635.50,  78.3,
635.00,  78.4,
634.50,  78.3,
634.00,  78.4,
633.50,  78.4,
633.00,  78.3,
632.50,  78.4,
632.00,  78.4,
631.50,  78.3,
631.00,  78.4,
630.50,  78.4,
630.00,  78.3,
629.50,  78.4,
629.00,  78.5,
628.50,  78.4,
628.00,  78.4,
627.50,  78.5,
627.00,  78.4,
626.50,  78.5,
626.00,  78.6,
625.50,  78.5,
625.00,  78.5,
624.50,  78.6,
624.00,  78.5,
623.50,  78.5,
623.00,  78.6,
622.50,  78.5,
622.00,  78.6,
621.50,  78.6,
621.00,  78.5,
620.50,  78.6,
620.00,  78.6,
619.50,  78.6,
619.00,  78.6,
618.50,  78.7,
618.00,  78.6,
617.50,  78.7,
617.00,  78.7,
616.50,  78.6,
616.00,  78.7,
615.50,  78.7,
615.00,  78.6,
614.50,  78.7,
614.00,  78.7,
613.50,  78.7,
613.00,  78.7,
612.50,  78.8,
612.00,  78.7,
611.50,  78.8,
611.00,  78.7,
610.50,  78.7,
610.00,  78.8,
609.50,  78.8,
609.00,  78.8,
608.50,  78.8,
608.00,  78.8,
607.50,  78.8,
607.00,  78.8,
606.50,  78.8,
606.00,  78.8,
605.50,  78.8,
605.00,  78.9,
604.50,  78.8,
604.00,  78.9,
603.50,  78.9,
603.00,  78.8,
602.50,  78.9,
602.00,  78.9,
601.50,  78.9,
601.00,  78.9,
600.50,  78.9,
600.00,  78.8,
599.50,  78.9,
599.00,  79.0,
598.50,  78.9,
598.00,  78.9,
597.50,  78.9,
597.00,  78.9,
596.50,  78.9,
596.00,  78.9,
595.50,  78.9,
595.00,  78.9,
594.50,  78.9,
594.00,  78.8,
593.50,  78.9,
593.00,  78.9,
592.50,  78.9,
592.00,  78.9,
591.50,  78.9,
591.00,  78.9,
590.50,  78.9,
590.00,  78.9,
589.50,  78.9,
589.00,  78.9,
588.50,  78.9,
588.00,  78.8,
587.50,  78.9,
587.00,  78.9,
586.50,  78.9,
586.00,  78.9,
585.50,  78.9,
585.00,  78.8,
584.50,  78.9,
584.00,  78.9,
583.50,  78.8,
583.00,  78.8,
582.50,  78.8,
582.00,  78.8,
581.50,  78.8,
581.00,  78.9,
580.50,  78.8,
580.00,  78.8,
579.50,  78.8,
579.00,  78.8,
578.50,  78.8,
578.00,  78.8,
577.50,  78.7,
577.00,  78.7,
576.50,  78.8,
576.00,  78.6,
575.50,  78.7,
575.00,  78.7,
574.50,  78.7,
574.00,  78.6,
573.50,  78.7,
573.00,  78.6,
572.50,  78.6,
572.00,  78.6,
571.50,  78.5,
571.00,  78.6,
570.50,  78.6,
570.00,  78.4,
569.50,  78.5,
569.00,  78.5,
568.50,  78.4,
568.00,  78.5,
567.50,  78.4,
567.00,  78.4,
566.50,  78.4,
566.00,  78.4,
565.50,  78.3,
565.00,  78.3,
564.50,  78.3,
564.00,  78.2,
563.50,  78.3,
563.00,  78.2,
562.50,  78.1,
562.00,  78.2,
561.50,  78.2,
561.00,  78.1,
560.50,  78.1,
560.00,  78.1,
559.50,  78.0,
559.00,  78.0,
558.50,  78.0,
558.00,  77.9,
557.50,  78.0,
557.00,  78.0,
556.50,  77.8,
556.00,  77.8,
555.50,  77.8,
555.00,  77.8,
554.50,  77.8,
554.00,  77.8,
553.50,  77.6,
553.00,  77.6,
552.50,  77.7,
552.00,  77.5,
551.50,  77.6,
551.00,  77.6,
550.50,  77.4,
550.00,  77.5,
549.50,  77.6,
549.00,  77.3,
548.50,  77.4,
548.00,  77.4,
547.50,  77.3,
547.00,  77.3,
546.50,  77.4,
546.00,  77.1,
545.50,  77.2,
545.00,  77.2,
544.50,  77.1,
544.00,  77.1,
543.50,  77.1,
543.00,  77.0,
542.50,  77.0,
542.00,  77.0,
541.50,  76.9,
541.00,  76.9,
540.50,  76.9,
540.00,  76.8,
539.50,  76.8,
539.00,  76.9,
538.50,  76.7,
538.00,  76.7,
537.50,  76.8,
537.00,  76.6,
536.50,  76.6,
536.00,  76.6,
535.50,  76.6,
535.00,  76.5,
534.50,  76.5,
534.00,  76.4,
533.50,  76.4,
533.00,  76.5,
532.50,  76.4,
532.00,  76.3,
531.50,  76.4,
531.00,  76.2,
530.50,  76.3,
530.00,  76.3,
529.50,  76.1,
529.00,  76.2,
528.50,  76.2,
528.00,  76.1,
527.50,  76.1,
527.00,  76.1,
526.50,  76.0,
526.00,  76.0,
525.50,  76.1,
525.00,  76.0,
524.50,  76.0,
524.00,  76.0,
523.50,  75.9,
523.00,  75.9,
522.50,  75.9,
522.00,  75.8,
521.50,  75.9,
521.00,  75.9,
520.50,  75.7,
520.00,  75.8,
519.50,  75.8,
519.00,  75.7,
518.50,  75.8,
518.00,  75.8,
517.50,  75.7,
517.00,  75.7,
516.50,  75.7,
516.00,  75.6,
515.50,  75.7,
515.00,  75.7,
514.50,  75.6,
514.00,  75.6,
513.50,  75.7,
513.00,  75.6,
512.50,  75.6,
512.00,  75.6,
511.50,  75.5,
511.00,  75.6,
510.50,  75.6,
510.00,  75.5,
509.50,  75.6,
509.00,  75.7,
508.50,  75.6,
508.00,  75.6,
507.50,  75.7,
507.00,  75.5,
506.50,  75.6,
506.00,  75.6,
505.50,  75.5,
505.00,  75.6,
504.50,  75.6,
504.00,  75.6,
503.50,  75.6,
503.00,  75.6,
502.50,  75.5,
502.00,  75.6,
501.50,  75.7,
501.00,  75.6,
500.50,  75.6,
500.00,  75.8,
499.50,  75.6,
499.00,  75.7,
498.50,  75.7,
498.00,  75.6,
497.50,  75.7,
497.00,  75.8,
496.50,  75.7,
496.00,  75.8,
495.50,  75.9,
495.00,  75.8,
494.50,  75.8,
494.00,  75.9,
493.50,  75.7,
493.00,  75.9,
492.50,  76.0,
492.00,  75.8,
491.50,  75.9,
491.00,  76.0,
490.50,  75.9,
490.00,  76.0,
489.50,  76.1,
489.00,  75.9,
488.50,  76.0,
488.00,  76.1,
487.50,  76.0,
487.00,  76.1,
486.50,  76.1,
486.00,  76.0,
485.50,  76.2,
485.00,  76.2,
484.50,  76.3,
484.00,  76.1,
483.50,  76.3,
483.00,  76.4,
482.50,  76.1,
482.00,  76.3,
481.50,  76.5,
481.00,  76.3,
480.50,  76.4,
480.00,  76.5,
479.50,  76.3,
479.00,  76.4,
478.50,  76.6,
478.00,  76.4,
477.50,  76.5,
477.00,  76.6,
476.50,  76.5,
476.00,  76.6,
475.50,  76.7,
475.00,  76.6,
474.50,  76.6,
474.00,  76.7,
473.50,  76.6,
473.00,  76.7,
472.50,  76.7,
472.00,  76.7,
471.50,  76.7,
471.00,  76.7,
470.50,  76.7,
470.00,  76.7,
469.50,  76.7,
469.00,  76.7,
468.50,  76.7,
468.00,  76.6,
467.50,  76.7,
467.00,  76.8,
466.50,  76.6,
466.00,  76.7,
465.50,  76.7,
465.00,  76.7,
464.50,  76.8,
464.00,  76.7,
463.50,  76.7,
463.00,  76.9,
462.50,  76.7,
462.00,  76.6,
461.50,  76.7,
461.00,  76.7,
460.50,  76.6,
460.00,  76.6,
459.50,  76.6,
459.00,  76.4,
458.50,  76.6,
458.00,  76.5,
457.50,  76.4,
457.00,  76.6,
456.50,  76.4,
456.00,  76.3,
455.50,  76.5,
455.00,  76.3,
454.50,  76.2,
454.00,  76.5,
453.50,  76.2,
453.00,  76.0,
452.50,  76.3,
452.00,  76.1,
451.50,  75.9,
451.00,  76.2,
450.50,  76.0,
450.00,  75.7,
449.50,  76.0,
449.00,  75.8,
448.50,  75.5,
448.00,  75.9,
447.50,  75.7,
447.00,  75.3,
446.50,  75.7,
446.00,  75.5,
445.50,  75.1,
445.00,  75.4,
444.50,  75.3,
444.00,  75.1,
443.50,  75.2,
443.00,  75.1,
442.50,  74.9,
442.00,  75.1,
441.50,  74.9,
441.00,  74.6,
440.50,  74.8,
440.00,  74.6,
439.50,  74.4,
439.00,  74.6,
438.50,  74.4,
438.00,  74.2,
437.50,  74.3,
437.00,  74.2,
436.50,  74.1,
436.00,  74.1,
435.50,  74.0,
435.00,  73.9,
434.50,  73.8,
434.00,  73.7,
433.50,  73.7,
433.00,  73.6,
432.50,  73.6,
432.00,  73.5,
431.50,  73.4,
431.00,  73.3,
430.50,  73.3,
430.00,  73.1,
429.50,  73.1,
429.00,  73.0,
428.50,  72.9,
428.00,  72.9,
427.50,  72.8,
427.00,  72.7,
426.50,  72.7,
426.00,  72.6,
425.50,  72.5,
425.00,  72.5,
424.50,  72.4,
424.00,  72.3,
423.50,  72.3,
423.00,  72.2,
422.50,  72.1,
422.00,  72.0,
421.50,  72.0,
421.00,  71.9,
420.50,  71.9,
420.00,  71.8,
419.50,  71.7,
419.00,  71.8,
418.50,  71.7,
418.00,  71.6,
417.50,  71.7,
417.00,  71.6,
416.50,  71.3,
416.00,  71.7,
415.50,  71.4,
415.00,  71.3,
414.50,  71.5,
414.00,  71.4,
413.50,  71.3,
413.00,  71.5,
412.50,  71.3,
412.00,  71.2,
411.50,  71.4,
411.00,  71.3,
410.50,  71.2,
410.00,  71.3,
409.50,  71.2,
409.00,  71.2,
408.50,  71.3,
408.00,  71.3,
407.50,  71.2,
407.00,  71.3,
406.50,  71.3,
406.00,  71.2,
405.50,  71.3,
405.00,  71.3,
404.50,  71.3,
404.00,  71.4,
403.50,  71.3,
403.00,  71.3,
402.50,  71.3,
402.00,  71.4,
401.50,  71.3,
401.00,  71.3,
400.50,  71.4,
400.00,  71.4,
399.50,  71.4,
399.00,  71.4,
398.50,  71.5,
398.00,  71.4,
397.50,  71.5,
397.00,  71.4,
396.50,  71.4,
396.00,  71.5,
395.50,  71.4,
395.00,  71.5,
394.50,  71.5,
394.00,  71.4,
393.50,  71.5,
393.00,  71.5,
392.50,  71.4,
392.00,  71.5,
391.50,  71.4,
391.00,  71.4,
390.50,  71.4,
390.00,  71.3,
389.50,  71.3,
389.00,  71.3,
388.50,  71.2,
388.00,  71.1,
387.50,  71.2,
387.00,  71.1,
386.50,  71.0,
386.00,  71.0,
385.50,  70.9,
385.00,  70.8,
384.50,  70.9,
384.00,  70.6,
383.50,  70.4,
383.00,  70.5,
382.50,  70.4,
382.00,  70.2,
381.50,  70.2,
381.00,  70.0,
380.50,  69.9,
380.00,  69.9,
379.50,  69.8,
379.00,  69.5,
378.50,  69.6,
378.00,  69.4,
377.50,  69.3,
377.00,  69.3,
376.50,  69.1,
376.00,  68.9,
375.50,  68.9,
375.00,  68.8,
374.50,  68.6,
374.00,  68.6,
373.50,  68.3,
373.00,  68.1,
372.50,  68.1,
372.00,  67.8,
371.50,  67.5,
371.00,  67.5,
370.50,  67.3,
370.00,  67.0,
369.50,  66.8,
369.00,  66.6,
368.50,  66.3,
368.00,  66.1,
367.50,  65.8,
367.00,  65.4,
366.50,  65.3,
366.00,  65.0,
365.50,  64.6,
365.00,  64.6,
364.50,  64.2,
364.00,  63.8,
363.50,  63.4,
363.00,  63.3,
362.50,  62.9,
362.00,  62.4,
361.50,  62.3,
361.00,  61.9,
360.50,  61.4,
360.00,  61.3,
359.50,  60.8,
359.00,  60.4,
358.50,  60.2,
358.00,  59.8,
357.50,  59.4,
357.00,  59.2,
356.50,  58.7,
356.00,  58.3,
355.50,  58.1,
355.00,  57.6,
354.50,  57.1,
354.00,  57.0,
353.50,  56.5,
353.00,  56.1,
352.50,  55.9,
352.00,  55.3,
351.50,  54.9,
351.00,  54.7,
350.50,  54.1,
350.00,  53.6,
349.50,  53.3,
349.00,  52.9,
348.50,  52.4,
348.00,  51.9,
347.50,  51.5,
347.00,  51.0,
346.50,  50.5,
346.00,  50.0,
345.50,  49.5,
345.00,  49.0,
344.50,  48.4,
344.00,  47.9,
343.50,  47.3,
343.00,  46.8,
342.50,  46.1,
342.00,  45.5,
341.50,  45.0,
341.00,  44.3,
340.50,  43.7,
340.00,  43.1,
339.50,  42.3,
339.00,  41.6,
338.50,  41.0,
338.00,  40.0,
337.50,  39.3,
337.00,  38.6,
336.50,  37.8,
336.00,  37.0,
335.50,  36.3,
335.00,  35.5,
334.50,  34.7,
334.00,  34.0,
333.50,  33.1,
333.00,  32.3,
332.50,  31.5,
332.00,  30.6,
331.50,  29.8,
331.00,  29.0,
330.50,  28.1,
330.00,  27.3,
329.50,  26.4,
329.00,  25.6,
328.50,  24.7,
328.00,  23.9,
327.50,  23.0,
327.00,  22.2,
326.50,  21.4,
326.00,  20.5,
325.50,  19.7,
325.00,  18.9,
324.50,  18.0,
324.00,  17.2,
323.50,  16.5,
323.00,  15.7,
322.50,  14.9,
322.00,  14.2,
321.50,  13.5,
321.00,  12.8,
320.50,  12.1,
320.00,  11.4,
319.50,  10.8,
319.00,  10.2,
318.50,  9.6,
318.00,  9.0,
317.50,  8.4,
317.00,  7.9,
316.50,  7.4,
316.00,  6.9,
315.50,  6.4,
315.00,  6.0,
314.50,  5.5,
314.00,  5.1,
313.50,  4.7,
313.00,  4.4,
312.50,  4.0,
312.00,  3.7,
311.50,  3.4,
311.00,  3.1,
310.50,  2.8,
310.00,  2.5,
309.50,  2.3,
309.00,  2.1,
308.50,  1.9,
308.00,  1.7,
307.50,  1.5,
307.00,  1.3,
306.50,  1.2,
306.00,  1.0,
305.50,  0.9,
305.00,  0.8,
304.50,  0.7,
304.00,  0.6,
303.50,  0.5,
303.00,  0.5,
302.50,  0.4,
302.00,  0.3,
301.50,  0.3,
301.00,  0.3,
300.50,  0.2,
300.00,  0.2,
