nm    	T%  
800.00 	69.3 
799.50 	69.3 
799.00 	69.3 
798.50 	69.5 
798.00 	69.5 
797.50 	69.5 
797.00 	69.7 
796.50 	69.6 
796.00 	69.7 
795.50 	69.9 
795.00 	69.9 
794.50 	69.8 
794.00 	70.1 
793.50 	70.1 
793.00 	70.0 
792.50 	70.3 
792.00 	70.2 
791.50 	70.2 
791.00 	70.4 
790.50 	70.4 
790.00 	70.4 
789.50 	70.6 
789.00 	70.6 
788.50 	70.6 
788.00 	70.8 
787.50 	70.7 
787.00 	70.7 
786.50 	70.9 
786.00 	70.9 
785.50 	70.8 
785.00 	71.1 
784.50 	71.0 
784.00 	71.0 
783.50 	71.3 
783.00 	71.2 
782.50 	71.2 
782.00 	71.4 
781.50 	71.4 
781.00 	71.3 
780.50 	71.6 
780.00 	71.5 
779.50 	71.5 
779.00 	71.6 
778.50 	71.7 
778.00 	71.6 
777.50 	71.8 
777.00 	71.8 
776.50 	71.7 
776.00 	71.9 
775.50 	71.9 
775.00 	71.8 
774.50 	72.1 
774.00 	72.0 
773.50 	72.0 
773.00 	72.2 
772.50 	72.1 
772.00 	72.1 
771.50 	72.3 
771.00 	72.2 
770.50 	72.2 
770.00 	72.4 
769.50 	72.3 
769.00 	72.3 
768.50 	72.5 
768.00 	72.4 
767.50 	72.4 
767.00 	72.6 
766.50 	72.5 
766.00 	72.4 
765.50 	72.6 
765.00 	72.6 
764.50 	72.5 
764.00 	72.7 
763.50 	72.7 
763.00 	72.5 
762.50 	72.9 
762.00 	72.7 
761.50 	72.7 
761.00 	72.6 
760.50 	72.6 
760.00 	72.5 
759.50 	72.7 
759.00 	72.6 
758.50 	72.6 
758.00 	72.8 
757.50 	72.7 
757.00 	72.6 
756.50 	72.8 
756.00 	72.7 
755.50 	72.6 
755.00 	72.8 
754.50 	72.7 
754.00 	72.6 
753.50 	72.8 
753.00 	72.7 
752.50 	72.6 
752.00 	72.7 
751.50 	72.7 
751.00 	72.6 
750.50 	72.7 
750.00 	72.7 
749.50 	72.6 
749.00 	72.8 
748.50 	72.7 
748.00 	72.6 
747.50 	72.8 
747.00 	72.6 
