nm    	Abs   
800.00 	0.002 
799.50 	0.002 
799.00 	0.001 
798.50 	0.002 
798.00 	0.002 
797.50 	0.001 
797.00 	0.002 
796.50 	0.001 
796.00 	0.001 
795.50 	0.002 
795.00 	0.001 
794.50 	0.001 
794.00 	0.002 
793.50 	0.002 
793.00 	0.001 
792.50 	0.002 
792.00 	0.002 
791.50 	0.001 
791.00 	0.002 
790.50 	0.001 
790.00 	0.000 
789.50 	0.002 
789.00 	0.001 
788.50 	0.001 
788.00 	0.002 
787.50 	0.002 
787.00 	0.001 
786.50 	0.002 
786.00 	0.001 
785.50 	0.001 
785.00 	0.002 
784.50 	0.001 
784.00 	0.001 
783.50 	0.001 
783.00 	0.001 
782.50 	0.001 
782.00 	0.001 
781.50 	0.001 
781.00 	0.001 
780.50 	0.002 
780.00 	0.001 
779.50 	0.000 
779.00 	0.001 
778.50 	0.001 
778.00 	0.001 
777.50 	0.001 
777.00 	0.001 
776.50 	0.000 
776.00 	0.001 
775.50 	0.001 
775.00 	0.001 
774.50 	0.002 
774.00 	0.001 
773.50 	0.001 
773.00 	0.001 
772.50 	0.001 
772.00 	0.001 
771.50 	0.001 
771.00 	0.001 
770.50 	0.000 
770.00 	0.001 
769.50 	0.001 
769.00 	0.000 
768.50 	0.001 
768.00 	0.001 
767.50 	0.000 
767.00 	0.002 
766.50 	0.001 
766.00 	0.000 
765.50 	0.001 
765.00 	0.001 
764.50 	0.000 
764.00 	0.001 
763.50 	0.001 
763.00 	0.000 
762.50 	0.002 
762.00 	0.001 
761.50 	0.001 
761.00 	0.001 
760.50 	0.001 
760.00 	0.000 
759.50 	0.001 
759.00 	0.001 
758.50 	0.001 
758.00 	0.002 
757.50 	0.001 
757.00 	0.001 
756.50 	0.001 
756.00 	0.001 
755.50 	0.000 
755.00 	0.002 
754.50 	0.001 
754.00 	0.001 
753.50 	0.001 
753.00 	0.001 
752.50 	0.001 
752.00 	0.002 
751.50 	0.001 
751.00 	0.000 
750.50 	0.002 
750.00 	0.001 
749.50 	0.000 
749.00 	0.001 
748.50 	0.001 
748.00 	0.000 
747.50 	0.001 
747.00 	0.001 
746.50 	0.000 
746.00 	0.001 
745.50 	0.001 
745.00 	0.000 
744.50 	0.001 
744.00 	0.001 
743.50 	0.001 
743.00 	0.002 
742.50 	0.001 
742.00 	0.000 
741.50 	0.001 
741.00 	0.001 
740.50 	0.000 
740.00 	0.001 
739.50 	0.001 
739.00 	0.000 
738.50 	0.001 
738.00 	0.001 
737.50 	0.000 
737.00 	0.001 
736.50 	0.001 
736.00 	0.000 
735.50 	0.002 
735.00 	0.001 
734.50 	0.000 
734.00 	0.002 
733.50 	0.001 
733.00 	0.000 
732.50 	0.001 
732.00 	0.001 
731.50 	0.000 
731.00 	0.001 
730.50 	0.001 
730.00 	0.000 
729.50 	0.002 
729.00 	0.001 
728.50 	0.000 
728.00 	0.001 
727.50 	0.001 
727.00 	0.000 
726.50 	0.001 
726.00 	0.001 
725.50 	0.000 
725.00 	0.001 
724.50 	0.001 
724.00 	0.000 
723.50 	0.002 
723.00 	0.001 
722.50 	0.000 
722.00 	0.001 
721.50 	0.001 
721.00 	0.000 
720.50 	0.001 
720.00 	0.001 
719.50 	0.000 
719.00 	0.001 
718.50 	0.001 
718.00 	0.000 
717.50 	0.001 
717.00 	0.001 
716.50 	-0.001 
716.00 	0.001 
715.50 	0.001 
715.00 	0.000 
714.50 	0.001 
714.00 	0.001 
713.50 	0.000 
713.00 	0.001 
712.50 	0.001 
712.00 	0.000 
711.50 	0.001 
711.00 	0.000 
710.50 	0.000 
710.00 	0.001 
709.50 	0.001 
709.00 	0.000 
708.50 	0.002 
708.00 	0.001 
707.50 	0.000 
707.00 	0.001 
706.50 	0.001 
706.00 	0.000 
705.50 	0.001 
705.00 	0.001 
704.50 	0.000 
704.00 	0.001 
703.50 	0.001 
703.00 	0.000 
702.50 	0.001 
702.00 	0.001 
701.50 	0.000 
701.00 	0.002 
700.50 	0.001 
700.00 	0.000 
699.50 	0.002 
699.00 	0.001 
698.50 	0.000 
698.00 	0.001 
697.50 	0.001 
697.00 	0.000 
696.50 	0.002 
696.00 	0.001 
695.50 	-0.001 
695.00 	0.001 
694.50 	0.001 
694.00 	0.000 
693.50 	0.001 
693.00 	0.001 
692.50 	0.000 
692.00 	0.002 
691.50 	0.000 
691.00 	0.000 
690.50 	0.001 
690.00 	0.001 
689.50 	-0.001 
689.00 	0.002 
688.50 	0.001 
688.00 	0.000 
687.50 	0.002 
687.00 	0.001 
686.50 	-0.001 
686.00 	0.001 
685.50 	0.001 
685.00 	0.000 
684.50 	0.002 
684.00 	0.001 
683.50 	0.000 
683.00 	0.002 
682.50 	0.000 
682.00 	-0.001 
681.50 	0.002 
681.00 	0.001 
680.50 	-0.001 
680.00 	0.002 
679.50 	0.000 
679.00 	-0.001 
678.50 	0.002 
678.00 	0.001 
677.50 	-0.002 
677.00 	0.003 
676.50 	0.001 
676.00 	-0.001 
675.50 	0.002 
675.00 	0.001 
674.50 	-0.002 
674.00 	0.002 
673.50 	0.001 
673.00 	-0.001 
672.50 	0.002 
672.00 	0.001 
671.50 	0.000 
671.00 	0.001 
670.50 	0.000 
670.00 	0.001 
669.50 	0.000 
669.00 	0.000 
668.50 	0.002 
668.00 	-0.001 
667.50 	0.000 
667.00 	0.002 
666.50 	-0.001 
666.00 	0.001 
665.50 	0.003 
665.00 	-0.002 
664.50 	0.000 
664.00 	0.004 
663.50 	-0.002 
663.00 	0.001 
662.50 	0.003 
662.00 	-0.001 
661.50 	0.000 
661.00 	0.003 
660.50 	-0.001 
660.00 	0.001 
659.50 	0.002 
659.00 	0.000 
658.50 	0.001 
658.00 	0.001 
657.50 	0.001 
657.00 	0.001 
656.50 	0.000 
656.00 	0.001 
655.50 	0.001 
655.00 	0.000 
654.50 	0.001 
654.00 	0.001 
653.50 	0.001 
653.00 	0.000 
652.50 	0.001 
652.00 	0.000 
651.50 	0.000 
651.00 	0.001 
650.50 	0.000 
650.00 	0.001 
649.50 	0.001 
649.00 	0.000 
648.50 	0.001 
648.00 	0.001 
647.50 	0.000 
647.00 	0.000 
646.50 	0.001 
646.00 	0.000 
645.50 	0.001 
645.00 	0.000 
644.50 	0.000 
644.00 	0.001 
643.50 	0.000 
643.00 	0.000 
642.50 	0.001 
642.00 	0.001 
641.50 	0.000 
641.00 	0.001 
640.50 	0.001 
640.00 	0.001 
639.50 	0.001 
639.00 	0.001 
638.50 	0.000 
638.00 	0.001 
637.50 	0.001 
637.00 	0.000 
636.50 	0.001 
636.00 	0.000 
635.50 	0.000 
635.00 	0.001 
634.50 	0.001 
634.00 	0.000 
633.50 	0.001 
633.00 	0.001 
632.50 	0.000 
632.00 	0.001 
631.50 	0.001 
631.00 	0.000 
630.50 	0.001 
630.00 	0.001 
629.50 	0.000 
629.00 	0.001 
628.50 	0.001 
628.00 	0.000 
627.50 	0.001 
627.00 	0.001 
626.50 	0.000 
626.00 	0.001 
625.50 	0.001 
625.00 	0.000 
624.50 	0.001 
624.00 	0.001 
623.50 	0.001 
623.00 	0.001 
622.50 	0.001 
622.00 	0.001 
621.50 	0.001 
621.00 	0.001 
620.50 	0.001 
620.00 	0.001 
619.50 	0.001 
619.00 	0.001 
618.50 	0.001 
618.00 	0.001 
617.50 	0.001 
617.00 	0.001 
616.50 	0.001 
616.00 	0.001 
615.50 	0.001 
615.00 	0.001 
614.50 	0.001 
614.00 	0.001 
613.50 	0.001 
613.00 	0.001 
612.50 	0.001 
612.00 	0.001 
611.50 	0.001 
611.00 	0.001 
610.50 	0.001 
610.00 	0.001 
609.50 	0.001 
609.00 	0.001 
608.50 	0.001 
608.00 	0.001 
607.50 	0.001 
607.00 	0.001 
606.50 	0.001 
606.00 	0.001 
605.50 	0.001 
605.00 	0.001 
604.50 	0.001 
604.00 	0.001 
603.50 	0.002 
603.00 	0.002 
602.50 	0.001 
602.00 	0.002 
601.50 	0.002 
601.00 	0.002 
600.50 	0.002 
600.00 	0.002 
599.50 	0.002 
599.00 	0.002 
598.50 	0.002 
598.00 	0.002 
597.50 	0.003 
597.00 	0.003 
596.50 	0.003 
596.00 	0.004 
595.50 	0.004 
595.00 	0.004 
594.50 	0.004 
594.00 	0.005 
593.50 	0.004 
593.00 	0.006 
592.50 	0.006 
592.00 	0.006 
